x,y,z,m1,m0
0.004889681877895156,0.008469177445363206,0.28004433745657525,-5.619886957561066,-0.230472356
-0.009779363755790308,1.197626652122624e-18,0.28004433745657525,-0.07995708136183953,-0.39189285
0.004889681877895156,-0.008469177445363206,0.28004433745657525,0.5322952987112952,-0.433403343
0.02752401708412287,0.010017922946055156,0.2786799895944451,-2.638203256010822,0.269813597
0.014645223595085416,0.025366271354894464,0.2786799895944451,-5.210622478706991,-0.095958367
-0.005086232777622623,0.028845459482074873,0.2786799895944451,-1.494208742977285,-0.246748209
-0.022437784306500244,0.01882753653601972,0.2786799895944451,3.863932905715218,-0.220076397
-0.029290447190170828,3.587045239703729e-18,0.2786799895944451,-5.6904398102580895,-0.264445156
-0.022437784306500244,-0.01882753653601972,0.2786799895944451,-0.2895429951831962,-0.376335561
-0.005086232777622623,-0.028845459482074873,0.2786799895944451,1.0841226557010692,-0.54579103
0.014645223595085416,-0.025366271354894464,0.2786799895944451,2.284682920784462,-0.624533594
0.02752401708412287,-0.010017922946055156,0.2786799895944451,-2.096201419082202,0.0536074452
0.04772386472594792,0.009492866913144852,0.2759579408358255,-0.8221813270027457,0.474963486
0.04045833893933338,0.02703339780496111,0.2759579408358255,-0.014660233252480361,0.667391956
0.027033397804961112,0.04045833893933338,0.2759579408358255,-1.9617710483744364,0.620652974
0.009492866913144857,0.04772386472594792,0.2759579408358255,-2.935953830458233,0.193895265
-0.00949286691314485,0.04772386472594792,0.2759579408358255,-2.289353516383868,0.00744966092
-0.027033397804961123,0.04045833893933338,0.2759579408358255,-1.6691975230450542,-0.171725318
-0.04045833893933339,0.02703339780496111,0.2759579408358255,1.9192830963008656,-0.155146345
-0.04772386472594792,0.009492866913144849,0.2759579408358255,0.46507600797788845,-0.0242949408
-0.04772386472594792,-0.009492866913144849,0.2759579408358255,-1.5384703559483823,0.132849395
-0.04045833893933339,-0.02703339780496111,0.2759579408358255,-0.5111257370454427,-0.242994308
-0.027033397804961123,-0.04045833893933338,0.2759579408358255,-6.55974795798262,-0.118182436
-0.00949286691314485,-0.04772386472594792,0.2759579408358255,-2.305754030492407,-0.262708426
0.009492866913144857,-0.04772386472594792,0.2759579408358255,2.8006908090874085,-0.696669221
0.027033397804961112,-0.04045833893933338,0.2759579408358255,0.14263765209029763,-0.491298139
0.04045833893933338,-0.02703339780496111,0.2759579408358255,-4.638159599860496,0.477649212
0.04772386472594792,-0.009492866913144852,0.2759579408358255,-1.9902944656758268,0.647464514
